Unique Specimen Number,Label Date,Site,Display Date,Station,Collection Method,Specimen Kind ,Order,Family,Genus,Subgenus,Species,Subspecies,Nr.,Label Name,Short label name,Sex,Vial Duplicates,Voucher Specimen,Questionable or Incomplete Identification,Broken Specimen,Entered by,Entered Date,NOTES,Count,18,Jgardner
7251,20190731,POS,30/Jul/2015,POS6,T,P,,,Megachile,Xanthosarus,perihirta,,,Megachile (Xanthosarus) perihirta,Megachile perihirta,F,,,,,WRP,42322,,1,0,0
7252,20190731,POS,30/Jul/2015,POS6,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7253,20190731,POS,30/Jul/2015,POS6,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7254,20190731,POS,30/Jul/2015,POS6,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7255,20190731,POS,30/Jul/2015,POS6,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7256,20190731,POS,30/Jul/2015,POS6,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,M,,,,,WRP,42322,,1,0,0
7257,20190731,POS,30/Jul/2015,POS8,T,P,,,Halictus,Protohalictus,rubicundus,,,Halictus (Protohalictus) rubicundus,Halictus rubicundus,M,,,,,WRP,42322,,1,0,0
7258,20190731,POS,30/Jul/2015,POS8,T,P,,,Lasioglossum,Lasioglossum,sisymbrii,,,Lasioglossum (Lasioglossum) sisymbrii,Lasioglossum sisymbrii,F,,Y,,,WRP,42322,"corrected from L. (Evylaeus) sp. [EAS 20230427]; [WSU May2023]; det. JGardner, corrected from L. (Sphecodogastra) cooleyi [WRP 20230523]",1,0,1
7259,20190731,POS,30/Jul/2015,POS8,T,P,,,Lasioglossum,Lasioglossum,pacificum,,,Lasioglossum (Lasioglossum) pacificum,Lasioglossum pacificum,F,,,,,WRP,42322,,1,0,0
7260,20190731,POS,30/Jul/2015,POS8,T,P,,,Halictus,Seladonia,confusus,,,Halictus (Seladonia) confusus,Halictus confusus,M,,,,,WRP,42322,,1,0,0
7261,20190731,POS,30/Jul/2015,POS8,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7262,20190731,POS,30/Jul/2015,POS8,T,P,,,Ceratina,Zadontomerus,acantha,,,Ceratina (Zadontomerus) acantha,Ceratina acantha,F,,,,,WRP,42322,,1,0,0
7263,20190731,POS,30/Jul/2015,POS8,T,P,,,Ceratina,Zadontomerus,acantha,,,Ceratina (Zadontomerus) acantha,Ceratina acantha,F,,,,,WRP,42322,,1,0,0
7264,20190731,POS,30/Jul/2015,POS12,T,P,,,Lasioglossum,Sphecodogastra,cooleyi,,Y,Lasioglossum (Sphecodogastra) nr. cooleyi,Lasioglossum cooleyi,F,,,,,WRP,42322,corrected from L. (Evylaeus) sp. [EAS 20230427],1,0,0
7265,20190731,POS,30/Jul/2015,POS12,T,P,,,Halictus,Seladonia,tripartitus,,,Halictus (Seladonia) tripartitus,Halictus tripartitus,F,,,,,WRP,42322,,1,0,0
7266,20190731,POS,30/Jul/2015,POS12,T,P,,,Halictus,Seladonia,tripartitus,,,Halictus (Seladonia) tripartitus,Halictus tripartitus,F,,,,,WRP,42322,,1,0,0
7267,20190731,POS,30/Jul/2015,POS12,T,P,,,Halictus,Seladonia,tripartitus,,,Halictus (Seladonia) tripartitus,Halictus tripartitus,F,,,,,WRP,42322,,1,0,0
7268,20190731,POS,30/Jul/2015,POS12,T,P,,,Sphecodes,,msp. BS0003,,,Sphecodes msp. BS0003,Sphecodes msp. BS0003,F,,,x,,WRP,42322,,1,0,0
7269,20190731,POS,30/Jul/2015,POS12,T,P,,,Anthidium,Proanthidium,oblongatum,,,Anthidium (Proanthidium) oblongatum,Anthidium oblongatum,F,,,,,WRP,42322,,1,0,0
7270,20190731,POS,30/Jul/2015,POS12,T,P,,,Coelioxys,Boreocoelioxys,rufitarsis,,,Coelioxys (Boreocoelioxys) rufitarsis,Coelioxys rufitarsis,M,,,,,WRP,42322,,1,0,0
7271,20190731,POS,30/Jul/2015,POS12,T,P,,,Bombus,Pyrobombus,vosnesenskii,,,Bombus (Pyrobombus) vosnesenskii,Bombus vosnesenskii,F,,,,,WRP,42322,"Q, large",1,0,0
7272,20190731,POS,30/Jul/2015,POS12,T,P,,,Ceratina,Zadontomerus,acantha,,,Ceratina (Zadontomerus) acantha,Ceratina acantha,F,,,,,WRP,42322,,1,0,0
7273,20190731,POS,30/Jul/2015,POS21,T,P,,,Halictus,Protohalictus,rubicundus,,,Halictus (Protohalictus) rubicundus,Halictus rubicundus,M,,,,,WRP,42322,,1,0,0
7274,20190731,POS,30/Jul/2015,POS21,T,P,,,Halictus,Protohalictus,rubicundus,,,Halictus (Protohalictus) rubicundus,Halictus rubicundus,M,,,,,WRP,42322,,1,0,0
7275,20190731,POS,30/Jul/2015,POS21,T,P,,,Lasioglossum,Sphecodogastra,cooleyi,,Y,Lasioglossum (Sphecodogastra) nr. cooleyi,Lasioglossum cooleyi,F,,,,,WRP,42322,Corrected from Lasioglossum s.s. [EAS 20211018]; corrected from L. (Evylaeus) sp. [EAS 20230427]; [WSU May2023]; det. JGardner [WRP 20230523],1,1,1
7276,20190731,POS,30/Jul/2015,POS21,T,P,,,Lasioglossum,Sphecodogastra,cooleyi,,Y,Lasioglossum (Sphecodogastra) nr. cooleyi,Lasioglossum cooleyi,F,,,,,WRP,42322,corrected from L. (Evylaeus) sp. [EAS 20230427],1,0,0
7277,20190731,POS,30/Jul/2015,POS21,T,P,,,Halictus,Seladonia,tripartitus,,,Halictus (Seladonia) tripartitus,Halictus tripartitus,F,,,,,WRP,42322,,1,0,0
7278,20190731,POS,30/Jul/2015,POS21,T,P,,,Halictus,Seladonia,tripartitus,,,Halictus (Seladonia) tripartitus,Halictus tripartitus,F,,,,,WRP,42322,,1,0,0
